ID,Function,Comment
300,"function approve ( address _spender , uint256 _value ) notPendingWithdrawal returns ( bool success ) { if ( balanceOf [ msg . sender ] < _value ) return false ; if ( ( _value != 0 ) && ( allowance [ msg . sender ] [ _spender ] != 0 ) ) throw ; allowance [ msg . sender ] [ _spender ] = _value ; Approval ( msg . sender , _spender , _value ) ; return true ; }",` msg.sender ` approves ` _spender ` to spend ` _value ` tokens
302,function onTimeout ( uint256 ) internal { selfdestruct ( msg . sender ) ; },Default action when timeout : override this .
306,function getHealBalance ( ) view public returns ( uint256 ) { return ethealController . ethealToken ( ) . balanceOf ( address ( this ) ) ; },How many HEAL tokens do this contract have
307,"function upgrade ( uint256 value ) external { require ( upgradeAgentStatus ) ; require ( value > 0 && upgradeAgent . owner ( ) != 0x0 ) ; require ( value <= balances [ msg . sender ] ) ; balances [ msg . sender ] = safeSub ( balances [ msg . sender ] , value ) ; totalSupply = safeSub ( totalSupply , value ) ; totalUpgraded = safeAdd ( totalUpgraded , value ) ; upgradeAgent . upgradeFrom ( msg . sender , value ) ; Upgrade ( msg . sender , upgradeAgent , value ) ; }",Upgrade tokens to the new token contract .
308,"function getDetails ( string _symbol ) public view returns ( address , uint256 , string , bytes32 , bool ) { string memory symbol = upper ( _symbol ) ; if ( registeredSymbols [ symbol ] . status == true || registeredSymbols [ symbol ] . timestamp . add ( expiryLimit ) > now ) { return ( registeredSymbols [ symbol ] . owner , registeredSymbols [ symbol ] . timestamp , registeredSymbols [ symbol ] . tokenName , registeredSymbols [ symbol ] . swarmHash , registeredSymbols [ symbol ] . status ) ; } else return ( address ( 0 ) , uint256 ( 0 ) , """" , bytes32 ( 0 ) , false ) ; }",Returns the owner and timestamp for a given symbol
310,function ownershipLength ( ) public view returns ( uint256 ) { return ownership . length ; },Gets the length of the ownership array which represents the number of owned plots which exist
311,"function createCloneToken ( address _parentToken , uint _snapshotBlock , string _tokenName , uint8 _decimalUnits , string _tokenSymbol , bool _transfersEnabled ) public returns ( MiniMeToken ) { MiniMeToken newToken = new MiniMeToken ( this , _parentToken , _snapshotBlock , _tokenName , _decimalUnits , _tokenSymbol , _transfersEnabled ) ; newToken . transferControl ( msg . sender ) ; return newToken ; }",Update the DApp by creating a new token with new functionalities the msg.sender becomes the controller of this clone token
312,"function getNextVestingIndex ( address account ) public view returns ( uint ) { uint len = numVestingEntries ( account ) ; for ( uint i = 0 ; i < len ; i ++ ) { if ( getVestingTime ( account , i ) != 0 ) { return i ; } } return len ; }",Obtain the index of the next schedule entry that will vest for a given user .
313,function computeHash ( string _key ) private pure returns ( bytes32 ) { return keccak256 ( abi . encodePacked ( _key ) ) ; },Computes keccak256 hash of the supplied value .
314,"function processProposal ( bytes32 _propID ) public { ParamProposal storage prop = proposals [ _propID ] ; address propOwner = prop . owner ; uint propDeposit = prop . deposit ; if ( canBeSet ( _propID ) ) { set ( prop . name , prop . value ) ; _ProposalAccepted ( _propID , prop . name , prop . value ) ; delete proposals [ _propID ] ; require ( token . transfer ( propOwner , propDeposit ) ) ; } else if ( challengeCanBeResolved ( _propID ) ) { resolveChallenge ( _propID ) ; } else if ( now > prop . processBy ) { _ProposalExpired ( _propID ) ; delete proposals [ _propID ] ; require ( token . transfer ( propOwner , propDeposit ) ) ; } else { revert ( ) ; } assert ( get ( ""dispensationPct"" ) <= 100 ) ; assert ( get ( ""pDispensationPct"" ) <= 100 ) ; now . add ( get ( ""pApplyStageLen"" ) ) . add ( get ( ""pCommitStageLen"" ) ) . add ( get ( ""pRevealStageLen"" ) ) . add ( PROCESSBY ) ; delete proposals [ _propID ] ; }","for the provided proposal ID , set it , resolve its challenge , or delete it depending on whether it can be set , has a challenge which can be resolved , or if its `` process by '' date has passed"
316,"function transfer ( address _to , uint256 _value ) returns ( bool ) { require ( _to != address ( 0 ) ) ; balances [ msg . sender ] = balances [ msg . sender ] . sub ( _value ) ; balances [ _to ] = balances [ _to ] . add ( _value ) ; Transfer ( msg . sender , _to , _value ) ; toRecord ( msg . sender , _to , _value ) ; return true ; }",send ` _value ` token to ` _to `
317,"function getTokenDetails ( uint64 _tokens ) private view returns ( TokenPair memory ) { ( address priorityAddress , uint8 priorityDecimals , bool priorityRegistered ) = renExTokensContract . tokens ( uint32 ( _tokens >> 32 ) ) ; ( address secondaryAddress , uint8 secondaryDecimals , bool secondaryRegistered ) = renExTokensContract . tokens ( uint32 ( _tokens ) ) ; return TokenPair ( { priorityToken : RenExTokens . TokenDetails ( priorityAddress , priorityDecimals , priorityRegistered ) , secondaryToken : RenExTokens . TokenDetails ( secondaryAddress , secondaryDecimals , secondaryRegistered ) } ) ; }",Gets the order details of the priority and secondary token from the RenExTokens contract and returns them as a single struct .
318,"function createTemplate ( string content ) stateAny ( ) public returns ( uint256 ) { uint256 id = nextTemplateID ; templates [ id ] = block . number ; template_hashes [ id ] = keccak256 ( content ) ; LogNewTemplate ( id , msg . sender , content ) ; nextTemplateID = id . add ( 1 ) ; return id ; }","Create a reusable template , which should be a JSON document ."
320,function price ( ) public constant returns ( uint ) { if ( stage == Stages . AuctionEnded || stage == Stages . TokensDistributed ) { return finalPrice ; } return calcTokenPrice ( ) ; },"Get the XBET price in WEI during the auction , at the time of calling this function ."
321,function setFundingStartTime ( uint _startTime ) external ;,Function used by the main partner to set the start time of the funding
323,"function totalIssuedSynths ( bytes4 currencyKey ) public view rateNotStale ( currencyKey ) returns ( uint ) { uint total = 0 ; uint currencyRate = exchangeRates . rateForCurrency ( currencyKey ) ; for ( uint8 i = 0 ; i < availableSynths . length ; i ++ ) { require ( ! exchangeRates . rateIsStale ( availableSynths [ i ] . currencyKey ( ) ) , ""Rate is stale"" ) ; uint synthValue = availableSynths [ i ] . totalSupply ( ) . multiplyDecimalRound ( exchangeRates . rateForCurrency ( availableSynths [ i ] . currencyKey ( ) ) ) . divideDecimalRound ( currencyRate ) ; total = total . add ( synthValue ) ; } return total ; }","Total amount of synths issued by the system , priced in currencyKey"
324,function balanceOf ( address _owner ) public view returns ( uint256 _balance ) ;,Returns the balance of an account with address ` _owner ` .
325,"function quoteBid ( ) public returns ( uint256 ) { if ( initialSaleComplete ) { bid = fracExp ( 1e18 , R , ( _totalSupply / 1e18 ) - 1 , P ) ; } else { bid = ICObid ; } return bid ; }",Calculates the bid price in wei per aToken based on the current reserve amount
328,function setGasLimit ( uint256 _gasLimit ) isAdminOrOwner public { gasLimit = _gasLimit ; },"NB - this will only impact newly scheduled Oraclize queries , not future queries which have already been scheduled"
329,function setSynthetixState ( SynthetixState _synthetixState ) external optionalProxy_onlyOwner { synthetixState = _synthetixState ; emitStateContractChanged ( _synthetixState ) ; },Set the synthetixState contract address where issuance data is held .
331,"function transferFrom ( address from , address to , uint256 value ) returns ( bool ) { if ( balances [ from ] >= value && allowed [ from ] [ msg . sender ] >= value && safeAdd ( balances [ to ] , value ) > balances [ to ] ) { balances [ to ] = safeAdd ( balances [ to ] , value ) ; balances [ from ] = safeSub ( balances [ from ] , value ) ; allowed [ from ] [ msg . sender ] = safeSub ( allowed [ from ] [ msg . sender ] , value ) ; Transfer ( from , to , value ) ; return true ; } else { throw ; } }",This function is disabled during the funding .
332,function callWithdraw ( ) onlyOwner public { realitycheck . withdraw ( ) ; },Withdraw any accumulated question fees from the specified address into this contract
334,"function balanceOf ( address _holder , bytes32 _symbol ) public view returns ( uint ) { return _balanceOf ( getHolderId ( _holder ) , _symbol ) ; }",Returns asset balance for a particular holder .
336,function getCurrencyAddress ( ) external view returns ( address ) ;,Returns address of oracle currency ( 0x0 for ETH )
338,"function takeOwnership ( uint256 _tokenId ) public { address newOwner = msg . sender ; address oldOwner = cityIndexToOwner [ _tokenId ] ; require ( _addressNotNull ( newOwner ) ) ; require ( _approved ( newOwner , _tokenId ) ) ; _transfer ( oldOwner , newOwner , _tokenId ) ; }",Allow pre-approved user to take ownership of a token
339,"function getCard ( uint256 _tokenId ) public view returns ( string name , uint256 token ) { address owner = cardTokenToOwner [ _tokenId ] ; require ( owner != address ( 0 ) ) ; uint256 index = cardTokenToPosition [ _tokenId ] ; Card storage card = cards [ index ] ; name = card . name ; token = card . token ; }",Returns all the relevant information about a specific card .
342,"function generateTokens ( address _owner , uint _amount ) onlyController returns ( bool ) { uint curTotalSupply = getValueAt ( totalSupplyHistory , block . number ) ; if ( curTotalSupply + _amount < curTotalSupply ) throw ; updateValueAtNow ( totalSupplyHistory , curTotalSupply + _amount ) ; var previousBalanceTo = balanceOf ( _owner ) ; if ( previousBalanceTo + _amount < previousBalanceTo ) throw ; updateValueAtNow ( balances [ _owner ] , previousBalanceTo + _amount ) ; Transfer ( 0 , _owner , _amount ) ; return true ; }",Generates ` _amount ` tokens that are assigned to ` _owner `
343,"function acceptAllOfficialOperators ( ) external { require ( mIsUserNotAcceptingAllOfficialOperators [ msg . sender ] , ""Official operators are already accepted by msg.sender."" ) ; mIsUserNotAcceptingAllOfficialOperators [ msg . sender ] = false ; emit OfficialOperatorsAcceptedByUser ( msg . sender ) ; }",Authorize all official operators to manage ` msg.sender ` 's tokens .
346,function getCoversForPacks ( uint [ ] _packIds ) public view returns ( bytes32 [ ] ) { require ( _packIds . length > 0 ) ; bytes32 [ ] memory covers = new bytes32 [ ] ( _packIds . length ) ; for ( uint i = 0 ; i < _packIds . length ; i ++ ) { AssetPack memory assetPack = assetPacks [ _packIds [ i ] ] ; covers [ i ] = assetPack . packCover ; } return covers ; },Function to get cover image for every assetpack
350,"function transfer ( address _to , uint256 _value ) public returns ( bool ) { require ( _to != address ( 0 ) ) ; _balance [ msg . sender ] = _balance [ msg . sender ] . sub ( _value ) ; _balance [ _to ] = _balance [ _to ] . add ( _value ) ; emit Transfer ( msg . sender , _to , _value ) ; return true ; }",Transfers ` _value ` amount of tokens to address ` _to ` .
351,"function isOwner ( address _owner , bytes32 _symbol ) public view returns ( bool ) { return isCreated ( _symbol ) && ( _assetOwner ( _symbol ) == getHolderId ( _owner ) ) ; }",Check if specified address has asset owner rights .
352,"function createTemplateAndAskQuestion ( string content , string question , address arbitrator , uint32 timeout , uint32 opening_ts , uint256 nonce ) public payable returns ( bytes32 ) { uint256 template_id = createTemplate ( content ) ; return askQuestion ( template_id , question , arbitrator , timeout , opening_ts , nonce ) ; }",Create a new reusable template and use it to ask a question
353,"function getEscrowAndHash ( bytes16 _tradeID , address _seller , address _buyer , uint256 _value , uint16 _fee ) view private returns ( Escrow , bytes32 ) { bytes32 _tradeHash = keccak256 ( abi . encodePacked ( _tradeID , _seller , _buyer , _value , _fee ) ) ; return ( escrows [ _tradeHash ] , _tradeHash ) ; }",Hashes the values and returns the matching escrow object and trade hash .
355,function symbol ( ) external view returns ( string _symbol ) { return _ERC721symbol ; },An abbreviated name for NFTs in this contract
356,"function closeGame ( uint gameId , GameResults result ) external onlyOwner whenGameIsFrozen ( gameId ) { games [ gameId ] . state = GameStates . Closed ; games [ gameId ] . result = result ; emit GameHasClosed ( gameId , result ) ; }",We use this function to close a game
357,"function setPlotDataMultiple ( uint256 [ ] _deedIds , string name , string description , string imageUrl , string infoUrl ) external whenNotPaused { for ( uint256 i = 0 ; i < _deedIds . length ; i ++ ) { uint256 _deedId = _deedIds [ i ] ; setPlotData ( _deedId , name , description , imageUrl , infoUrl ) ; } }",Set the data associated with multiple plots .
358,function currentResult ( ) external view returns ( uint32 [ NUMBER_OF_CHOICES ] ) { return currentVoteResults ; },Return array with sums of votes per choice .
359,function setMigrationAgent ( address _agent ) external isUpgrading onlyOwner { require ( _agent != 0x00 ) ; agent = MigrationAgent ( _agent ) ; if ( ! agent . isMigrationAgent ( ) ) { revert ( ) ; } if ( agent . originalSupply ( ) != totalSupply ) { revert ( ) ; } },Set address of migration target contract and enable migration process .
360,"function quoteAsk ( ) private returns ( uint256 ) { if ( initialSaleComplete ) { ask = fracExp ( 1e16 , R , ( _totalSupply / 1e16 ) + 1 , P ) ; } else { ask = ICOask ; } return ask ; }",Calculates the ask price in wei per aToken based on the current reserve amount
361,"function transferFrom ( address _from , address _to , uint256 _tokenId ) external ;",Transfer ownership of an NFT -- THE CALLER IS RESPONSIBLE TO CONFIRM THAT ` _to ` IS CAPABLE OF RECEIVING NFTS OR ELSE THEY MAY BE PERMANENTLY LOST
362,function getNewRegistry ( ) public view returns ( address ) { return address ( params [ NEW_REGISTRY_KEC ] ) ; },"gets the address of the new registry , if set ."
370,function price ( ) public constant returns ( uint ) { if ( stage == Stages . AuctionEnded || stage == Stages . TokensDistributed ) { return 0 ; } return calcTokenPrice ( ) ; },"Get the RDN price in WEI during the auction , at the time of calling this function ."
372,"function mint ( address _tokenHolder , uint256 _amount , bytes _operatorData ) public onlyOwner canMint { requireMultiple ( _amount ) ; mTotalSupply = mTotalSupply . add ( _amount ) ; mBalances [ _tokenHolder ] = mBalances [ _tokenHolder ] . add ( _amount ) ; callRecipient ( msg . sender , 0x0 , _tokenHolder , _amount , """" , _operatorData , false ) ; emit Minted ( msg . sender , _tokenHolder , _amount , _operatorData ) ; if ( mErc20compatible ) { emit Transfer ( 0x0 , _tokenHolder , _amount ) ; } }",Generates ` _amount ` tokens to be assigned to ` _tokenHolder ` Sample mint function to showcase the use of the ` Minted ` event and the logic to notify the recipient .
373,"function decBalance ( address _acct , uint _val ) public onlyModule returns ( bool ) { balances [ _acct ] = balances [ _acct ] . sub ( _val ) ; emit BalanceAdj ( msg . sender , _acct , _val , ""-"" ) ; return true ; }",Decrement ` _acct ` balance by ` _val `
374,"function unlockPrivate ( ) public locked onlyOwner { require ( block . timestamp >= privateReleaseTime ) ; require ( privateLockedAmount > 0 ) ; uint256 amount = token . balanceOf ( this ) ; require ( amount >= privateLockedAmount ) ; token . transfer ( privateLockAddress , privateLockedAmount ) ; privateLockedAmount = 0 ; }",Transfers tokens held by timelock to private .
375,function getRegistry ( ) external view returns ( address ) ;,Get the account of the utilized attribute registry .
376,function getOrdersForSeller ( address seller ) public view validAddress ( seller ) returns ( address [ ] ) { return ordersBySeller [ seller ] ; },Gets all the data orders associated with a seller .
377,"function transferToAddress ( address _to , uint256 _value ) internal returns ( bool success ) { balances [ msg . sender ] = safeSub ( balances [ msg . sender ] , _value ) ; balances [ _to ] = balances [ _to ] + _value ; addUser ( _to ) ; Transfer ( msg . sender , _to , _value ) ; return true ; }","Handles transfer to an ECA ( Externally Controlled Account ) , a normal account ~ ERC-223 Proposed Standard"
378,"function name ( ) public pure returns ( string ) { return ""Pirate Kitty Token"" ; }",A descriptive name for a collection of NFTs in this contract
381,function remainingFundsToEndAuction ( ) constant public returns ( uint256 ) { uint256 required_wei_at_price = num_tokens_auctioned * price ( ) / token_multiplier ; if ( required_wei_at_price <= received_wei ) { return 0 ; } return required_wei_at_price - received_wei ; },"Get the remaining funds needed to end the auction , calculated at the current GOT price in WEI ."
382,"function rentOutArea ( uint8 fromX , uint8 fromY , uint8 toX , uint8 toY , uint rentPricePerPeriodWei ) external whenNotPaused { require ( isLegalCoordinates ( fromX , fromY , toX , toY ) ) ; uint id = rentals . rentOutBlocks ( msg . sender , rentPricePerPeriodWei , blocksList ( fromX , fromY , toX , toY ) ) ; emit LogRentsOut ( id , fromX , fromY , toX , toY , rentPricePerPeriodWei ) ; }","Rent out an area of blocks at coordinates [ fromX , fromY , toX , toY ] at a price for each block in wei"
383,function withdrawAccumulatedFees ( address _to ) external onlyOwner { uint256 transferAmount = accumulatedGasFees ; accumulatedGasFees = 0 ; _to . transfer ( transferAmount ) ; },Withdraw accumulated gas fees from the arbitratror releasing escrow .
384,"function transferFrom ( address _from , address _to , uint256 _value ) external requireThaw userNotPlaying ( _to ) { require ( cooldown [ _from ] [ _to ] <= now ) ; var _allowance = allowed [ _from ] [ _to ] ; if ( _from == selfAddress ) { monthlyLimit [ _to ] = safeSub ( monthlyLimit [ _to ] , _value ) ; } balances [ _to ] = balances [ _to ] + _value ; balances [ _from ] = safeSub ( balances [ _from ] , _value ) ; allowed [ _from ] [ _to ] = safeSub ( _allowance , _value ) ; addUser ( _to ) ; bytes memory empty ; Transfer ( _from , _to , _value , empty ) ; }",Transfer tokens from an address to another ~ ERC-20 Standard
385,"function transferOwnershipToProject ( uint64 idPledge , uint amount , uint64 idReceiver ) internal { Pledge storage p = findPledge ( idPledge ) ; require ( getPledgeLevel ( p ) < MAX_INTERPROJECT_LEVEL ) ; require ( ! isProjectCanceled ( idReceiver ) ) ; uint64 oldPledge = findOrCreatePledge ( p . owner , p . delegationChain , 0 , 0 , p . oldPledge , PledgeState . Pledged ) ; uint64 toPledge = findOrCreatePledge ( idReceiver , new uint64 [ ] ( 0 ) , 0 , 0 , oldPledge , PledgeState . Pledged ) ; doTransfer ( idPledge , toPledge , amount ) ; }","` transferOwnershipToProject ` allows for the transfer of ownership to the project , but it can also be called by a project to un-delegate everyone by setting one 's own id for the idReceiver"
386,"function ( ) public payable { require ( contractPoweredUp ) ; require ( now >= PRESALE_START_DATE ) ; require ( now < PRESALE_END_DATE ) ; require ( msg . value >= MINIMUM_PARTICIPATION_AMOUNT ) ; if ( now >= PRESALE_START_DATE && now < PRESALE_SECOND_DAY_START ) { require ( whitelist [ msg . sender ] == msg . value ) ; require ( balanceOf [ msg . sender ] == 0 ) ; } else if ( now >= PRESALE_SECOND_DAY_START && now < PRESALE_THIRD_DAY_START ) { require ( whitelist [ msg . sender ] != 0 ) ; } require ( totalFunding . add ( msg . value ) <= PRESALE_MAXIMUM_FUNDING ) ; addBalance ( msg . sender , msg . value ) ; grantCreditsForParticipation ( msg . sender , msg . value ) ; }",A participant 's contribution will be rejected if the presale has been funded to the maximum amount
387,"function getAthlete ( uint256 _tokenId ) public view returns ( string athleteName , uint256 sellingPrice , address owner ) { Athlete storage athlete = athletes [ _tokenId ] ; athleteName = athlete . name ; sellingPrice = athleteIndexToPrice [ _tokenId ] ; owner = athleteIndexToOwner [ _tokenId ] ; }",Returns all the relevant information about a specific athlete .
388,"function burn ( uint256 _value ) onlyOwner public returns ( bool success ) { burnFrom ( _owner , _value ) ; return true ; }","Destroy tokens from owener account , can be run only by owner Remove ` _value ` tokens from the system irreversibly"
389,function setNewCFO ( address newCFO ) public onlyOwner { require ( newCFO != 0 ) ; CFO = newCFO ; },Separating the CFO and the CEO responsibilities requires the ability to set the CFO account
392,"function generateSecurityToken ( string _name , string _symbol , string _tokenDetails , bool _divisible ) public ;",Creates a new Security Token and saves it to the registry
393,"function attestFor ( address _subject , address _attester , address _requester , uint256 _reward , bytes _requesterSig , bytes32 _dataHash , bytes32 _requestNonce , bytes _subjectSig , bytes _delegationSig ) external { validateAttestForSig ( _subject , _attester , _requester , _reward , _dataHash , _requestNonce , _delegationSig ) ; attestForUser ( _subject , _attester , _requester , _reward , _requesterSig , _dataHash , _requestNonce , _subjectSig ) ; }",Submit attestation for a user in order to pay the gas costs
394,"function decreaseApproval ( address _spender , uint _subtractedValue ) public returns ( bool success ) { uint oldValue = allowed [ msg . sender ] [ _spender ] ; if ( _subtractedValue > oldValue ) { allowed [ msg . sender ] [ _spender ] = 0 ; } else { allowed [ msg . sender ] [ _spender ] = oldValue . sub ( _subtractedValue ) ; } emit Approval ( msg . sender , _spender , allowed [ msg . sender ] [ _spender ] ) ; return true ; }",Decrease the amount of tokens that an owner allowed to a spender .
395,"function multiBatchSafeTransferFrom ( uint256 [ ] _tokenIds , address [ ] _fromB , address [ ] _toB ) public { require ( isBatchSupported ) ; require ( _tokenIds . length > 0 && _fromB . length > 0 && _toB . length > 0 ) ; uint256 _id ; address _to ; address _from ; for ( uint256 i = 0 ; i < _tokenIds . length ; ++ i ) { require ( _tokenIds [ i ] != 0 && _fromB [ i ] != 0 && _toB [ i ] != 0 ) ; _id = _tokenIds [ i ] ; _to = _toB [ i ] ; _from = _fromB [ i ] ; safeTransferFrom ( _from , _to , _id ) ; } }",Batch SafeTransferFrom with multiple From and to Addresses
401,"function drain ( ) public onlyOwner { for ( uint256 index = 0 ; index < membersArray . length ; index ++ ) { address memberAddress = membersArray [ index ] ; bool memberJoined = members [ memberAddress ] . stakeTimestamp != 0 ; uint256 amountRefunded = memberJoined ? refundUserBalance ( memberAddress ) : 0 ; delete registeredInvitationCodes [ members [ memberAddress ] . invitationCode ] ; delete members [ memberAddress ] ; emit MemberDrained ( memberAddress , amountRefunded ) ; } delete membersArray ; require ( ixtToken . transfer ( msg . sender , totalPoolBalance ) , ""Unable to withdraw this value of IXT."" ) ; totalPoolBalance = 0 ; emit PoolDrained ( msg . sender , totalPoolBalance ) ; emit ContractDrained ( msg . sender ) ; }",This function can only be called by the contract owner
402,function emergencyClawbackEther ( uint256 value ) external onlyOwnerOrMultisig { require ( contractFailed ) ; require ( contractRefundStarted ) ; require ( contractRefundFinished ) ; require ( value > 0 ) ; require ( value <= address ( this ) . balance ) ; msg . sender . transfer ( value ) ; },Contract owner or Multisig can clawback ether after refund period is finished
404,"function verifyMatchDetails ( OrderDetails memory _buy , OrderDetails memory _sell ) internal pure returns ( bool ) { if ( ! verifyTokens ( _buy . tokens , _sell . tokens ) ) { return false ; } if ( _buy . price < _sell . price ) { return false ; } if ( _buy . volume < _sell . minimumVolume ) { return false ; } if ( _sell . volume < _buy . minimumVolume ) { return false ; } if ( _buy . settlementID != _sell . settlementID ) { return false ; } return true ; }","Verifies that two orders match when considering the tokens , price , volumes / minimum volumes and settlement IDs ."
408,"function getBorrowBalance ( address account , address asset ) view public returns ( uint ) { Error err ; uint newBorrowIndex ; uint userBorrowCurrent ; Market storage market = markets [ asset ] ; Balance storage borrowBalance = borrowBalances [ account ] [ asset ] ; ( err , newBorrowIndex ) = calculateInterestIndex ( market . borrowIndex , market . borrowRateMantissa , market . blockNumber , getBlockNumber ( ) ) ; require ( err == Error . NO_ERROR ) ; ( err , userBorrowCurrent ) = calculateBalance ( borrowBalance . principal , borrowBalance . interestIndex , newBorrowIndex ) ; require ( err == Error . NO_ERROR ) ; return userBorrowCurrent ; }",return borrow balance with any accumulated interest for ` asset ` belonging to ` account `
411,"function assingAdminship ( address _newAdmin , uint8 _level ) onlyAdmin ( 2 ) public { admin [ _newAdmin ] = _level ; emit AssignAdminship ( _newAdmin , _level ) ; }",This function transfer the adminship of the contract to _newAdmin
412,"function bid ( ) external payable { require ( block . number < _auctionEnd ) ; uint proposedBid = _bidders [ msg . sender ] . value . add ( msg . value ) ; require ( proposedBid > _lowestBid ) ; uint startPos = 99 ; if ( _bidders [ msg . sender ] . value >= _lowestBid ) { for ( uint i = 99 ; i < 100 ; -- i ) { if ( _topBids [ i ] . bidderAddress == msg . sender ) { startPos = i ; break ; } } } uint endPos ; for ( uint j = startPos ; j < 100 ; -- j ) { if ( j != 0 && proposedBid > _topBids [ j - 1 ] . bid ) { _topBids [ j ] = _topBids [ j - 1 ] ; } else { _topBids [ j ] . bid = proposedBid ; _topBids [ j ] . bidderAddress = msg . sender ; endPos = j ; break ; } } _bidders [ msg . sender ] . value = proposedBid ; _bidders [ msg . sender ] . lastTime = now ; _lowestBid = _topBids [ 99 ] . bid ; if ( endPos < 3 ) { TopThreeChanged ( _topBids [ 0 ] . bidderAddress , _topBids [ 0 ] . bid , _topBids [ 1 ] . bidderAddress , _topBids [ 1 ] . bid , _topBids [ 2 ] . bidderAddress , _topBids [ 2 ] . bid ) ; } NewBid ( msg . sender , _bidders [ msg . sender ] . value ) ; }",Bid ` ( msg.value ) ` ether for a chance of winning a RareCoin
414,function forwardFunds ( uint256 amountPaid ) internal whenNotPaused { if ( goalReached ( ) ) { wallet . transfer ( amountPaid ) ; } else { vault . deposit . value ( amountPaid ) ( msg . sender ) ; } checkCompletedCrowdsale ( ) ; },Sends the funds to the wallet or to the refund vault smart contract if the minimum goal of tokens has n't been reached yet
418,"function split ( address boardOwner , uint _amount ) internal returns ( bool ) { emit Withdrawal ( owner , _amount / 2 ) ; owner . transfer ( _amount / 2 ) ; boardOwner . transfer ( _amount / 2 ) ; return true ; }",split the revenue of a new player between boardOwner and contract owner
419,"function addValidatorApproval ( address validator , uint256 attributeTypeID ) external ;",Approve the validator at address ` validator ` to issue attributes of the type with ID ` attributeTypeID ` .
420,function addressBelongsToAccount ( address _address ) public view returns ( bool ) { return accountByAddress [ _address ] > 0 ; },Check if an address is associated with any user account
421,"function transfer ( address _to , uint256 _value ) public notFrozen returns ( bool success ) { require ( tradable ) ; if ( balances [ msg . sender ] >= _value && _value > 0 && balances [ _to ] + _value > balances [ _to ] ) { balances [ msg . sender ] -= _value ; balances [ _to ] += _value ; Transfer ( msg . sender , _to , _value ) ; return true ; } else { return false ; } }",transfers sender 's tokens to a specified address .
422,function setBlacklistedUser ( address _who ) public onlyValidator { _setBlacklistedUser ( _who ) ; },Sets the necessary permissions for a `` blacklisted '' user .
423,"function existsPriceOnAssetPair ( address sellAsset , address buyAsset ) view returns ( bool isExistent ) { return hasRecentPrice ( sellAsset ) && hasRecentPrice ( buyAsset ) && ( buyAsset == QUOTE_ASSET || sellAsset == QUOTE_ASSET ) && ( buyAsset != QUOTE_ASSET || sellAsset != QUOTE_ASSET ) ; }",Checks whether data exists for a given asset pair
424,"function bid ( ) public payable auctionNotEnded isMinimumBid isHighestBid { if ( highestBidder != address ( 0 ) ) { uint lastBid = bids [ highestBidder ] ; bids [ highestBidder ] = 0 ; if ( ! highestBidder . send ( lastBid ) ) { emit CheaterBidder ( highestBidder , lastBid ) ; } } highestBidder = msg . sender ; bids [ msg . sender ] = msg . value ; auctionState = AuctionStates . Ongoing ; emit HighestBidIncreased ( msg . sender , msg . value ) ; }",Bid on the auction with the amount of ` msg.value ` The lesser value will be refunded .
428,function proxy_contribution ( address _toAddr ) public payable { require ( _toAddr != 0x0 ) ; require ( msg . sender == tx . origin ) ; process_contribution ( _toAddr ) ; },This function handles receiving Ether in favor of a third party address we can use this function for buying tokens on behalf
431,"function getPledge ( uint64 idPledge ) constant returns ( uint amount , uint64 owner , uint64 nDelegates , uint64 intendedProject , uint64 commitTime , uint64 oldPledge , PledgeState pledgeState ) { Pledge storage p = findPledge ( idPledge ) ; amount = p . amount ; owner = p . owner ; nDelegates = uint64 ( p . delegationChain . length ) ; intendedProject = p . intendedProject ; commitTime = p . commitTime ; oldPledge = p . oldPledge ; pledgeState = p . pledgeState ; }",A getter that returns the details of the specified pledge
432,function acceptOwnership ( ) { if ( msg . sender == newOwner ) { owner = newOwner ; } },"` newOwner ` has to accept the ownership before it is transferred Any account or any contract with the ability to call ` acceptOwnership ` can be used to accept ownership of this contract , including a contract with no other functions"
433,"function fundAnswerBounty ( bytes32 question_id ) stateOpen ( question_id ) external payable { questions [ question_id ] . bounty = questions [ question_id ] . bounty . add ( msg . value ) ; LogFundAnswerBounty ( question_id , msg . value , questions [ question_id ] . bounty , msg . sender ) ; }",Add funds to the bounty for a question
434,function getCampaignEndDateById ( bytes32 bidId ) public view returns ( uint endDate ) { return campaigns [ bidId ] . getEndDate ( ) ; },"Get the end date of a campaign Based on the Campaign id , return the value ( in miliseconds ) corresponding to the end Date of the campaign ."
435,function getDeedTimestamp ( string document ) public constant returns ( uint256 ) { uint256 documentHash = uint256 ( keccak256 ( document ) ) ; uint256 timestamp = documentRegistry [ documentHash ] ; require ( timestamp > 0 ) ; return timestamp ; },Returns a unix timestamp when the proof of existence for a document was created
437,"function approve ( address _spender , uint256 _value ) public returns ( bool success ) { require ( ( _value == 0 ) || ( allowed [ msg . sender ] [ _spender ] == 0 ) ) ; allowed [ msg . sender ] [ _spender ] = _value ; Approval ( msg . sender , _spender , _value ) ; return true ; }",Assign allowance _value to _spender address to use the msg.sender balance
438,"function onApprove ( address _owner , address _spender , uint _amount ) returns ( bool success ) { if ( _owner == vaultAddress ) { return true ; } return false ; }","Notifies the controller about an approval , for this EarlyTokenSale all approvals are allowed by default and no extra notifications are needed"
